n_epochs,embedding_dim,lr,num_filters,sent_vector_size,training_time,accuracy,f1 score
20,300,0.1,500,1000,0 days 00:03:04.129382,0.697391304347826,0.7943262411347518
20,300,0.01,500,1000,0 days 00:03:02.702345,0.68,0.7746938775510206
15,300,0.1,500,1050,0 days 00:02:22.167280,0.6834782608695652,0.7775061124694377
15,300,0.01,500,1050,0 days 00:02:20.164107,0.6985507246376812,0.7844112769485904
20,300,0.1,500,1050,0 days 00:03:10.118515,0.6742028985507247,0.7622673434856175
20,300,0.01,500,1050,0 days 00:03:00.695699,0.6950724637681159,0.7860048820179006
15,300,0.1,550,850,0 days 00:02:37.336718,0.6655072463768116,0.7618654560462237
15,300,0.01,550,850,0 days 00:02:34.642167,0.6701449275362319,0.7697288547146905
20,300,0.1,550,850,0 days 00:03:28.385658,0.6852173913043478,0.7800729040097205
20,300,0.01,550,850,0 days 00:03:27.850070,0.6921739130434783,0.7788421491045397
15,300,0.1,550,900,0 days 00:02:37.116764,0.6765217391304348,0.7696118909991743
15,300,0.01,550,900,0 days 00:02:35.730728,0.6811594202898551,0.7732893652102225
20,300,0.1,550,900,0 days 00:03:27.500006,0.6834782608695652,0.771356783919598
20,300,0.01,550,900,0 days 00:03:30.417203,0.664927536231884,0.7532023911187019
20,300,0.01,350,850,0 days 00:01:58.371396,0.7118840579710145,0.8177484415108178
15,300,0.1,550,1000,0 days 00:02:37.124759,0.6707246376811594,0.7727999999999999
15,300,0.01,550,1000,0 days 00:02:37.116766,0.6921739130434783,0.7854545454545455
20,300,0.1,550,1000,0 days 00:03:34.406338,0.6695652173913044,0.7646573080099092
20,300,0.01,550,1000,0 days 00:03:33.885162,0.687536231884058,0.781869688385269
15,300,0.1,550,1050,0 days 00:02:46.590634,0.6933333333333334,0.7834629553827261
15,300,0.01,550,1050,0 days 00:02:42.497373,0.671304347826087,0.7684769293589219
20,300,0.1,550,1050,0 days 00:03:44.418767,0.6765217391304348,0.7678868552412644
20,300,0.01,550,1050,0 days 00:03:38.945393,0.68,0.7684563758389262
